reference_number	submitted_reference	submitted_doi	status	crossref_title	crossref_container	crossref_year	crossref_doi	notes
25	Luecken MD, Theis FJ. Current best practices in single-cell RNA-seq analysis: a tutorial. Molecular Systems Biology. 2019;15:e8746. doi:10.15252/msb.20188746.	10.15252/msb.20188746	verified	Current best practices in single‐cell RNA‐seq analysis: a tutorial	Molecular Systems Biology	2019	10.15252/msb.20188746	
26	Stuart T, Butler A, Hoffman P, Hafemeister C, Papalexi E, Mauck WM 3rd, et al. Comprehensive integration of single-cell data. Cell. 2019;177:1888-1902.e21. doi:10.1016/j.cell.2019.05.031.	10.1016/j.cell.2019.05.031	verified	Comprehensive Integration of Single-Cell Data	Cell	2019	10.1016/j.cell.2019.05.031	
27	Haghverdi L, Lun ATL, Morgan MD, Marioni JC. Batch effects in single-cell RNA-sequencing data are corrected by matching mutual nearest neighbors. Nature Biotechnology. 2018;36:421-427. doi:10.1038/nbt.4091.	10.1038/nbt.4091	verified	Batch effects in single-cell RNA-sequencing data are corrected by matching mutual nearest neighbors	Nature Biotechnology	2018	10.1038/nbt.4091	
28	Korsunsky I, Millard N, Fan J, Slowikowski K, Zhang F, Wei K, et al. Fast, sensitive and accurate integration of single-cell data with Harmony. Nature Methods. 2019;16:1289-1296. doi:10.1038/s41592-019-0619-0.	10.1038/s41592-019-0619-0	verified	Fast, sensitive and accurate integration of single-cell data with Harmony	Nature Methods	2019	10.1038/s41592-019-0619-0	
29	Johnson WE, Li C, Rabinovic A. Adjusting batch effects in microarray expression data using empirical Bayes methods. Biostatistics. 2007;8:118-127. doi:10.1093/biostatistics/kxj037.	10.1093/biostatistics/kxj037	verified	Adjusting batch effects in microarray expression data using empirical Bayes methods	Biostatistics	2007	10.1093/biostatistics/kxj037	
30	Tran HTN, Ang KS, Chevrier M, Zhang X, Lee NYS, Goh M, et al. A benchmark of batch-effect correction methods for single-cell RNA sequencing data. Genome Biology. 2020;21:12. doi:10.1186/s13059-019-1850-9.	10.1186/s13059-019-1850-9	verified	A benchmark of batch-effect correction methods for single-cell RNA sequencing data	Genome Biology	2020	10.1186/s13059-019-1850-9	
31	Luecken MD, Buttner M, Chaichoompu K, Danese A, Interlandi M, Mueller MF, et al. Benchmarking atlas-level data integration in single-cell genomics. Nature Methods. 2022;19:41-50. doi:10.1038/s41592-021-01336-8.	10.1038/s41592-021-01336-8	verified	Benchmarking atlas-level data integration in single-cell genomics	Nature Methods	2022	10.1038/s41592-021-01336-8	
32	Polanski K, Young MD, Miao Z, Meyer KB, Teichmann SA, Park JE. BBKNN: fast batch alignment of single cell transcriptomes. Bioinformatics. 2020;36:964-965. doi:10.1093/bioinformatics/btz625.	10.1093/bioinformatics/btz625	verified	BBKNN: fast batch alignment of single cell transcriptomes	Bioinformatics	2020	10.1093/bioinformatics/btz625	
33	Hie B, Bryson B, Berger B. Efficient integration of heterogeneous single-cell transcriptomes using Scanorama. Nature Biotechnology. 2019;37:685-691. doi:10.1038/s41587-019-0113-3.	10.1038/s41587-019-0113-3	verified	Efficient integration of heterogeneous single-cell transcriptomes using Scanorama	Nature Biotechnology	2019	10.1038/s41587-019-0113-3	
34	Buttner M, Miao Z, Wolf FA, Teichmann SA, Theis FJ. A test metric for assessing single-cell RNA-seq batch correction. Nature Methods. 2019;16:43-49. doi:10.1038/s41592-018-0254-1.	10.1038/s41592-018-0254-1	verified	A test metric for assessing single-cell RNA-seq batch correction	Nature Methods	2019	10.1038/s41592-018-0254-1	
35	Amezquita RA, Lun ATL, Becht E, Carey VJ, Carpp LN, Geistlinger L, et al. Orchestrating single-cell analysis with Bioconductor. Nature Methods. 2020;17:137-145. doi:10.1038/s41592-019-0654-x.	10.1038/s41592-019-0654-x	verified	Orchestrating single-cell analysis with Bioconductor	Nature Methods	2020	10.1038/s41592-019-0654-x	
36	Wolf FA, Angerer P, Theis FJ. SCANPY: large-scale single-cell gene expression data analysis. Genome Biology. 2018;19:15. doi:10.1186/s13059-017-1382-0.	10.1186/s13059-017-1382-0	verified	SCANPY: large-scale single-cell gene expression data analysis	Genome Biology	2018	10.1186/s13059-017-1382-0	
37	Virshup I, Rybakov S, Theis FJ, Angerer P, Wolf FA. anndata: annotated data. bioRxiv. 2021. doi:10.1101/2021.12.16.473007.	10.1101/2021.12.16.473007	verified	anndata: Annotated data		2021	10.1101/2021.12.16.473007	
38	Pedregosa F, Varoquaux G, Gramfort A, Michel V, Thirion B, Grisel O, et al. Scikit-learn: Machine Learning in Python. Journal of Machine Learning Research. 2011;12:2825-2830.		manual_verified_stable_source					Verified against JMLR page: https://www.jmlr.org/papers/v12/pedregosa11a.html
39	Varoquaux G. Cross-validation failure: small sample sizes lead to large error bars. NeuroImage. 2018;180:68-77. doi:10.1016/j.neuroimage.2017.06.061.	10.1016/j.neuroimage.2017.06.061	verified	Cross-validation failure: Small sample sizes lead to large error bars	NeuroImage	2018	10.1016/j.neuroimage.2017.06.061	
40	Vabalas A, Gowen E, Poliakoff E, Casson AJ. Machine learning algorithm validation with a limited sample size. PLoS ONE. 2019;14:e0224365. doi:10.1371/journal.pone.0224365.	10.1371/journal.pone.0224365	verified	Machine learning algorithm validation with a limited sample size	PLOS ONE	2019	10.1371/journal.pone.0224365	
41	Collins GS, Reitsma JB, Altman DG, Moons KGM. Transparent reporting of a multivariable prediction model for individual prognosis or diagnosis (TRIPOD): the TRIPOD statement. Annals of Internal Medicine. 2015;162:55-63. doi:10.7326/M14-0697.	10.7326/M14-0697	verified	Transparent Reporting of a multivariable prediction model for Individual Prognosis Or Diagnosis (TRIPOD): The TRIPOD Statement	Annals of Internal Medicine	2015	10.7326/m14-0697	
42	Luo W, Phung D, Tran T, Gupta S, Rana S, Karmakar C, et al. Guidelines for developing and reporting machine learning predictive models in biomedical research: a multidisciplinary view. Journal of Medical Internet Research. 2016;18:e323. doi:10.2196/jmir.5870.	10.2196/jmir.5870	verified	Guidelines for Developing and Reporting Machine Learning Predictive Models in Biomedical Research: A Multidisciplinary View	Journal of Medical Internet Research	2016	10.2196/jmir.5870	
43	Kelly CJ, Karthikesalingam A, Suleyman M, Corrado G, King D. Key challenges for delivering clinical impact with artificial intelligence. BMC Medicine. 2019;17:195. doi:10.1186/s12916-019-1426-2.	10.1186/s12916-019-1426-2	verified	Key challenges for delivering clinical impact with artificial intelligence	BMC Medicine	2019	10.1186/s12916-019-1426-2	
44	Roberts M, Driggs D, Thorpe M, Gilbey J, Yeung M, Ursprung S, et al. Common pitfalls and recommendations for using machine learning to detect and prognosticate for COVID-19 using chest radiographs and CT scans. Nature Machine Intelligence. 2021;3:199-217. doi:10.1038/s42256-021-00307-0.	10.1038/s42256-021-00307-0	verified	Common pitfalls and recommendations for using machine learning to detect and prognosticate for COVID-19 using chest radiographs and CT scans	Nature Machine Intelligence	2021	10.1038/s42256-021-00307-0	
45	Wynants L, Van Calster B, Collins GS, Riley RD, Heinze G, Schuit E, et al. Prediction models for diagnosis and prognosis of covid-19 infection: systematic review and critical appraisal. BMJ. 2020;369:m1328. doi:10.1136/bmj.m1328.	10.1136/bmj.m1328	verified	Prediction models for diagnosis and prognosis of covid-19: systematic review and critical appraisal	BMJ	2020	10.1136/bmj.m1328	
46	Koh PW, Sagawa S, Marklund H, Xie SM, Zhang M, Balsubramani A, et al. WILDS: a benchmark of in-the-wild distribution shifts. Proceedings of Machine Learning Research. 2021;139:5637-5664.		manual_verified_stable_source					Verified against PMLR page: https://proceedings.mlr.press/v139/koh21a.html
47	Bzdok D, Engemann DA, Thirion B. Inference and prediction diverge in biomedicine. Patterns. 2020;1:100119. doi:10.1016/j.patter.2020.100119.	10.1016/j.patter.2020.100119	verified	Inference and Prediction Diverge in Biomedicine	Patterns	2020	10.1016/j.patter.2020.100119	
48	Riley RD, Ensor J, Snell KIE, Harrell FE Jr, Martin GP, Reitsma JB, et al. Calculating the sample size required for developing a clinical prediction model. BMJ. 2020;368:m441. doi:10.1136/bmj.m441.	10.1136/bmj.m441	verified	Calculating the sample size required for developing a clinical prediction model	BMJ	2020	10.1136/bmj.m441	
49	Open Science Collaboration. Estimating the reproducibility of psychological science. Science. 2015;349:aac4716. doi:10.1126/science.aac4716.	10.1126/science.aac4716	verified	Estimating the reproducibility of psychological science	Science	2015	10.1126/science.aac4716	
