reference_number	submitted_reference	submitted_doi	status	crossref_title	crossref_container	crossref_year	crossref_doi	notes
1	Horvath S. DNA methylation age of human tissues and cell types. Genome Biology. 2013;14:R115. doi:10.1186/gb-2013-14-10-r115.	10.1186/gb-2013-14-10-r115	verified	DNA methylation age of human tissues and cell types	Genome Biology	2013	10.1186/gb-2013-14-10-r115	
2	Hannum G, Guinney J, Zhao L, Zhang L, Hughes G, Sadda S, et al. Genome-wide methylation profiles reveal quantitative views of human aging rates. Molecular Cell. 2013;49:359-367. doi:10.1016/j.molcel.2012.10.016.	10.1016/j.molcel.2012.10.016	verified	Genome-wide Methylation Profiles Reveal Quantitative Views of Human Aging Rates	Molecular Cell	2013	10.1016/j.molcel.2012.10.016	
3	Levine ME, Lu AT, Quach A, Chen BH, Assimes TL, Bandinelli S, et al. An epigenetic biomarker of aging for lifespan and healthspan. Aging. 2018;10:573-591. doi:10.18632/aging.101414.	10.18632/aging.101414	verified	An epigenetic biomarker of aging for lifespan and healthspan	Aging	2018	10.18632/aging.101414	
4	Lu AT, Quach A, Wilson JG, Reiner AP, Aviv A, Raj K, et al. DNA methylation GrimAge strongly predicts lifespan and healthspan. Aging. 2019;11:303-327. doi:10.18632/aging.101684.	10.18632/aging.101684	verified	DNA methylation GrimAge strongly predicts lifespan and healthspan	Aging	2019	10.18632/aging.101684	
5	Craig T, Smelick C, Tacutu R, Wuttke D, Wood SH, Stanley H, et al. The Digital Ageing Atlas: integrating the diversity of age-related changes into a unified resource. Nucleic Acids Research. 2015;43:D873-D878. doi:10.1093/nar/gku843.	10.1093/nar/gku843	verified	The Digital Ageing Atlas: integrating the diversity of age-related changes into a unified resource	Nucleic Acids Research	2015	10.1093/nar/gku843	
6	Aging Atlas Consortium. Aging Atlas: a multi-omics database for aging biology. Nucleic Acids Research. 2021;49:D825-D830. doi:10.1093/nar/gkaa894.	10.1093/nar/gkaa894	verified	Aging Atlas: a multi-omics database for aging biology	Nucleic Acids Research	2021	10.1093/nar/gkaa894	
7	Tabula Muris Consortium. A single-cell transcriptomic atlas characterizes ageing tissues in the mouse. Nature. 2020;583:590-595. doi:10.1038/s41586-020-2496-1.	10.1038/s41586-020-2496-1	verified	A single-cell transcriptomic atlas characterizes ageing tissues in the mouse	Nature	2020	10.1038/s41586-020-2496-1	
8	Zou Z, Long X, Zhao Q, Zheng Y, Song M, Ma S, et al. A single-cell transcriptomic atlas of human skin aging. Developmental Cell. 2021;56:383-397.e8. doi:10.1016/j.devcel.2020.11.002.	10.1016/j.devcel.2020.11.002	verified	A Single-Cell Transcriptomic Atlas of Human Skin Aging	Developmental Cell	2021	10.1016/j.devcel.2020.11.002	
9	Lu Y, Brommer B, Tian X, Krishnan A, Meer M, Wang C, et al. Reprogramming to recover youthful epigenetic information and restore vision. Nature. 2020;588:124-129. doi:10.1038/s41586-020-2975-4.	10.1038/s41586-020-2975-4	verified	Reprogramming to recover youthful epigenetic information and restore vision	Nature	2020	10.1038/s41586-020-2975-4	
10	Zakar-Polyak E, Csordas A, Palovics R, Kerepesi C. Profiling the transcriptomic age of single-cells in humans. Communications Biology. 2024;7:1397. doi:10.1038/s42003-024-07094-5.	10.1038/s42003-024-07094-5	verified	Profiling the transcriptomic age of single-cells in humans	Communications Biology	2024	10.1038/s42003-024-07094-5	
11	Kedlian VR, Wang Y, Herder C, et al. Human skeletal muscle aging atlas. Nature Aging. 2024;4:727-744. doi:10.1038/s43587-024-00613-3.	10.1038/s43587-024-00613-3	verified	Human skeletal muscle aging atlas	Nature Aging	2024	10.1038/s43587-024-00613-3	
12	Bartz J, Ma X, Zhang L, Dong X. Human Cell Aging Transcriptome Atlas (HCATA): a single-cell atlas of age-associated transcriptomic alterations across human tissues. Communications Biology. 2025. doi:10.1038/s42003-025-08845-8.	10.1038/s42003-025-08845-8	verified	Human Cell Aging Transcriptome Atlas (HCATA): a single-cell atlas of age-associated transcriptomic alterations across human tissues	Communications Biology	2025	10.1038/s42003-025-08845-8	
13	Aging Fly Cell Atlas Consortium. Aging Fly Cell Atlas identifies exhaustive aging features at cellular resolution. Science. 2023;380:eadg0934. doi:10.1126/science.adg0934.	10.1126/science.adg0934	verified	Aging Fly Cell Atlas identifies exhaustive aging features at cellular resolution	Science	2023	10.1126/science.adg0934	
14	Regev A, Teichmann SA, Lander ES, Amit I, Benoist C, Birney E, et al. The Human Cell Atlas. eLife. 2017;6:e27041. doi:10.7554/eLife.27041.	10.7554/eLife.27041	verified	The Human Cell Atlas	eLife	2017	10.7554/elife.27041	
15	Han X, Zhou Z, Fei L, Sun H, Wang R, Chen Y, et al. Construction of a human cell landscape at single-cell level. Nature. 2020;581:303-309. doi:10.1038/s41586-020-2157-4.	10.1038/s41586-020-2157-4	verified	Construction of a human cell landscape at single-cell level	Nature	2020	10.1038/s41586-020-2157-4	
16	Tabula Sapiens Consortium. The Tabula Sapiens: a multiple-organ, single-cell transcriptomic atlas of humans. Science. 2022;376:eabl4896. doi:10.1126/science.abl4896.	10.1126/science.abl4896	verified	The Tabula Sapiens: A multiple-organ, single-cell transcriptomic atlas of humans	Science	2022	10.1126/science.abl4896	
17	Abdulla S, Aevermann BD, Assis P, Badajoz S, Bell SM, Bezzi E, et al. CZ CELLxGENE Discover: a single-cell data platform for scalable exploration, analysis and modeling of aggregated data. Nucleic Acids Research. 2025;53:D886-D900. doi:10.1093/nar/gkae1142.	10.1093/nar/gkae1142	verified	CZ CELLxGENE Discover: a single-cell data platform for scalable exploration, analysis and modeling of aggregated data	Nucleic Acids Research	2025	10.1093/nar/gkae1142	
18	Lopez R, Regier J, Cole MB, Jordan MI, Yosef N. Deep generative modeling for single-cell transcriptomics. Nature Methods. 2018;15:1053-1058. doi:10.1038/s41592-018-0229-2.	10.1038/s41592-018-0229-2	verified	Deep generative modeling for single-cell transcriptomics	Nature Methods	2018	10.1038/s41592-018-0229-2	
19	Gayoso A, Lopez R, Xing G, Boyeau P, Valiollah Pour Amiri V, Hong J, et al. A Python library for probabilistic analysis of single-cell omics data. Nature Biotechnology. 2022;40:163-166. doi:10.1038/s41587-021-01206-w.	10.1038/s41587-021-01206-w	verified	A Python library for probabilistic analysis of single-cell omics data	Nature Biotechnology	2022	10.1038/s41587-021-01206-w	
20	Theodoris CV, Xiao L, Chopra A, Chaffin MD, Al Sayed ZR, Hill MC, et al. Transfer learning enables predictions in network biology. Nature. 2023;618:616-624. doi:10.1038/s41586-023-06139-9.	10.1038/s41586-023-06139-9	verified	Transfer learning enables predictions in network biology	Nature	2023	10.1038/s41586-023-06139-9	
21	Cui H, Wang C, Maan H, Pang K, Luo F, Duan N, et al. scGPT: toward building a foundation model for single-cell multi-omics using generative AI. Nature Methods. 2024;21:1470-1480. doi:10.1038/s41592-024-02201-0.	10.1038/s41592-024-02201-0	verified	scGPT: toward building a foundation model for single-cell multi-omics using generative AI	Nature Methods	2024	10.1038/s41592-024-02201-0	
22	Hao M, Gong J, Zeng X, Liu C, Guo Y, Cheng X, et al. Large-scale foundation model on single-cell transcriptomics. Nature Methods. 2024;21:1481-1491. doi:10.1038/s41592-024-02305-7.	10.1038/s41592-024-02305-7	verified	Large-scale foundation model on single-cell transcriptomics	Nature Methods	2024	10.1038/s41592-024-02305-7	
23	Yang X, Liu G, Feng G, et al. GeneCompass: deciphering universal gene regulatory mechanisms with a knowledge-informed cross-species foundation model. Cell Research. 2024;34:830-845. doi:10.1038/s41422-024-01034-y.	10.1038/s41422-024-01034-y	verified	GeneCompass: deciphering universal gene regulatory mechanisms with a knowledge-informed cross-species foundation model	Cell Research	2024	10.1038/s41422-024-01034-y	
24	Pearce JD, Simmonds SE, Mahmoudabadi G, Krishnan L, Palla G, Istrate AM, et al. TranscriptFormer: a generative cell atlas across 1.5 billion years of evolution. Science. 2026;eaec8514. doi:10.1126/science.aec8514.	10.1126/science.aec8514	verified	TranscriptFormer: A generative cell atlas across 1.5 billion years of evolution	Science	2026	10.1126/science.aec8514	
