model	split	seed	auroc	auprc	balanced_accuracy
metadata_confounder_logistic	random_cell	1301	0.7674391834855344	0.7545392505583588	0.6946128462896171
metadata_confounder_logistic	random_cell	1302	0.7589210344562964	0.7572334396950751	0.685922032077354
metadata_confounder_logistic	random_cell	1303	0.733596807612616	0.7330012070436839	0.6760225615839153
metadata_confounder_logistic	random_cell	1304	0.7834778604865321	0.7651436370726634	0.7006369426751593
metadata_confounder_logistic	random_cell	1305	0.7736551300744378	0.770184470412939	0.7046849819660809
metadata_confounder_logistic	random_cell	1306	0.7681298442176349	0.7468259337628311	0.6847133757961783
metadata_confounder_logistic	random_cell	1307	0.7876793799401428	0.7763188119252246	0.7045123167830558
metadata_confounder_logistic	random_cell	1308	0.7439567185941217	0.7280169053103955	0.6687898089171974
metadata_confounder_logistic	random_cell	1309	0.7455682603023559	0.7329528221247966	0.6631110428977055
metadata_confounder_logistic	random_cell	1310	0.7742690507251938	0.7574190875666718	0.694267515923567
metadata_confounder_logistic	random_cell	1311	0.777607244263679	0.7706063487881222	0.6754470109738315
metadata_confounder_logistic	random_cell	1312	0.7834011204051876	0.7716134238880243	0.7103637479855729
metadata_confounder_logistic	random_cell	1313	0.7807919576394751	0.7623645353399675	0.697452229299363
metadata_confounder_logistic	random_cell	1314	0.8114496201365974	0.7831315131752956	0.6976248944823882
metadata_confounder_logistic	random_cell	1315	0.7557746911211726	0.7455439355285609	0.6852313713452536
metadata_confounder_logistic	random_cell	1316	0.7525324226843682	0.7373951231394824	0.678343949044586
metadata_confounder_logistic	random_cell	1317	0.7421725117028624	0.7368387671380762	0.6878980891719746
metadata_confounder_logistic	random_cell	1318	0.7570217174430205	0.7489041259941167	0.6823919883355076
metadata_confounder_logistic	random_cell	1319	0.7887345560586294	0.7718032958698628	0.6979702248484383
metadata_confounder_logistic	random_cell	1320	0.7647149105978052	0.7599251161990015	0.6921187936459212
metadata_confounder_logistic	random_cell	1321	0.7857992479472029	0.7656043074746042	0.6884160847210499
metadata_confounder_logistic	random_cell	1322	0.7606093162458752	0.7599306567262932	0.6951308418386923
metadata_confounder_logistic	random_cell	1323	0.7463164760954647	0.744437588793859	0.6916007980968459
metadata_confounder_logistic	random_cell	1324	0.8006868237280332	0.7945822755551342	0.7330020719821964
metadata_confounder_logistic	random_cell	1325	0.7485035684137825	0.7534510348827712	0.6922914588289464
metadata_confounder_logistic	random_cell	1326	0.7890607014043435	0.7697614163877793	0.7038216560509554
metadata_confounder_logistic	random_cell	1327	0.7490023789425216	0.7516795442994171	0.6461898549612463
metadata_confounder_logistic	random_cell	1328	0.784398741462666	0.7712144658658573	0.7043396516000306
metadata_confounder_logistic	random_cell	1329	0.7713912976747755	0.7567490525735117	0.6761952267669404
metadata_confounder_logistic	random_cell	1330	0.7770508786739314	0.7594904830318991	0.6882434195380247
metadata_confounder_logistic	donor_holdout	1301	0.7368421052631579	0.7278070648902308	0.6153475291281638
metadata_confounder_logistic	donor_holdout	1302	0.5785869903516963	0.6285406045944703	0.6386554621848739
metadata_confounder_logistic	donor_holdout	1303	0.7311692404664355	0.7508001631735945	0.6802710368736211
metadata_confounder_logistic	donor_holdout	1304	0.7777777777777777	0.8026032860929431	0.7127071823204421
metadata_confounder_logistic	donor_holdout	1305	0.7282347282347282	0.7095401919577322	0.6590909090909091
metadata_confounder_logistic	donor_holdout	1306	0.7962448979591836	0.7074219600931011	0.6799999999999999
metadata_confounder_logistic	donor_holdout	1307	0.5689655172413792	0.5744228593688745	0.6319628647214854
metadata_confounder_logistic	donor_holdout	1308	0.7357071598495895	0.7505574015320363	0.6235515309646228
metadata_confounder_logistic	donor_holdout	1309	0.7026785714285714	0.7389976815237171	0.6391369047619048
metadata_confounder_logistic	donor_holdout	1310	0.7396874999999999	0.7214096717579691	0.659375
metadata_confounder_logistic	donor_holdout	1311	0.688203125	0.6940315204964886	0.634375
metadata_confounder_logistic	donor_holdout	1312	0.8367844794467921	0.7947557160660241	0.694410295812524
metadata_confounder_logistic	donor_holdout	1313	0.8095437171524127	0.8069019548363037	0.7298136645962733
metadata_confounder_logistic	donor_holdout	1314	0.6623376623376622	0.655730234677603	0.5324675324675324
metadata_confounder_logistic	donor_holdout	1315	0.7395488721804512	0.7761865295665181	0.6409022556390978
metadata_confounder_logistic	donor_holdout	1316	0.6999295884838053	0.7023686365791628	0.6417227350962291
metadata_confounder_logistic	donor_holdout	1317	0.6625608272506082	0.6749398521097765	0.6210462287104623
metadata_confounder_logistic	donor_holdout	1318	0.8542819928362096	0.8238277482745554	0.73510257245197
metadata_confounder_logistic	donor_holdout	1319	0.7239915074309979	0.6985551541763747	0.5876554443433424
metadata_confounder_logistic	donor_holdout	1320	0.7255268661518661	0.7527270567989257	0.6755952380952381
metadata_confounder_logistic	donor_holdout	1321	0.6813559322033899	0.5973896588943534	0.5966101694915253
metadata_confounder_logistic	donor_holdout	1322	0.7197574682046731	0.7383789850888904	0.6988871635610766
metadata_confounder_logistic	donor_holdout	1323	0.6587755102040815	0.7026210794962431	0.5485714285714286
metadata_confounder_logistic	donor_holdout	1324	0.6576240252198441	0.6922468543530449	0.6139040982246557
metadata_confounder_logistic	donor_holdout	1325	0.7174382716049383	0.7284813031834262	0.6632716049382716
metadata_confounder_logistic	donor_holdout	1326	0.64	0.6669609070782274	0.5557142857142857
metadata_confounder_logistic	donor_holdout	1327	0.7702395209580839	0.7811114612879504	0.7002594810379241
metadata_confounder_logistic	donor_holdout	1328	0.5591397849462365	0.6521486300613436	0.4646697388632872
metadata_confounder_logistic	donor_holdout	1329	0.6537982565379825	0.6882404375332178	0.5423412204234122
metadata_confounder_logistic	donor_holdout	1330	0.5874619207952541	0.7494245480641953	0.6601731601731602
metadata_confounder_logistic	dataset_holdout	1301	0.203125	0.37878865320725785	0.4166666666666667
metadata_confounder_logistic	dataset_holdout	1302	0.03710407239819005	0.8431536717251004	0.037104072398190045
metadata_confounder_logistic	dataset_holdout	1303	0.5714285714285714	0.7142857142857143	0.5
metadata_confounder_logistic	dataset_holdout	1304	0.020408163265306145	0.04	0.5102040816326531
metadata_confounder_logistic	dataset_holdout	1305	0.02057142857142857	0.5563492063492064	0.04857142857142857
metadata_confounder_logistic	dataset_holdout	1306	0.15000000000000002	0.4946752511631145	0.4875
metadata_confounder_logistic	dataset_holdout	1307	0.5365268613908503	0.4334275497353284	0.5390477292896554
metadata_confounder_logistic	dataset_holdout	1308	0.17329093799682038	0.7387981387981388	0.20508744038155804
metadata_confounder_logistic	dataset_holdout	1309	0.3995943204868155	0.8057367712540127	0.3509127789046653
metadata_confounder_logistic	dataset_holdout	1310	0.8040816326530613	0.8344827586206897	0.5102040816326531
metadata_confounder_logistic	dataset_holdout	1311	0.9249530956848031	0.9533799533799534	0.5121951219512195
metadata_confounder_logistic	dataset_holdout	1312	0.5051123064920132	0.4174676049856455	0.5282100767872542
metadata_confounder_logistic	dataset_holdout	1313	0.14583333333333334	0.6584244702665756	0.19010416666666666
metadata_confounder_logistic	dataset_holdout	1314	0.07212475633528265	0.8967911996541427	0.043859649122807015
metadata_confounder_logistic	dataset_holdout	1315	0.06611570247933884	0.8462295571225827	0.2830578512396694
metadata_confounder_logistic	dataset_holdout	1316	0.6818181818181819	0.9487812911725955	0.5625
