dataset_id	heldout_donors	heldout_cells	young_donors	old_donors	exclusion_reason
0a8e3443-c3e2-4918-84db-0495657d9175	2	16	2	0	held-out dataset has fewer than two donors in at least one age class; train or test set lacks both age classes
0c0c49a2-b96b-432f-98a4-1decf9929149	3	24	0	3	held-out dataset has fewer than two donors in at least one age class; train or test set lacks both age classes
21d3e683-80a4-4d9b-bc89-ebb2df513dde	4	16	0	4	held-out dataset has fewer than two donors in at least one age class; train or test set lacks both age classes
242c6e7f-9016-4048-af70-d631f5eea188	2	16	1	1	held-out dataset has fewer than two donors in at least one age class
3cb646ab-d411-4e5b-89eb-082a786c953b	5	33	0	5	held-out dataset has fewer than two donors in at least one age class; train or test set lacks both age classes
420d0f5d-b7ba-4b1e-88d0-44e9f733febd	1	8	1	0	held-out dataset has fewer than two donors in at least one age class; train or test set lacks both age classes
46104f0b-9af5-466a-ae0f-56b8dc1969a2	3	24	3	0	held-out dataset has fewer than two donors in at least one age class; train or test set lacks both age classes
47e00f43-6176-44a5-b4d1-f88a1920fcab	6	48	0	6	held-out dataset has fewer than two donors in at least one age class; train or test set lacks both age classes
5fde5c9c-5b1e-4df5-982a-3f8e7635161f	2	16	2	0	held-out dataset has fewer than two donors in at least one age class; train or test set lacks both age classes
aa32098f-f7b0-43f2-a00a-601d190aae94	10	80	0	10	held-out dataset has fewer than two donors in at least one age class; train or test set lacks both age classes
b0e547f0-462b-4f81-b31b-5b0a5d96f537	1	3	0	1	held-out dataset has fewer than two donors in at least one age class
e522d2cd-7927-4e59-a4ed-064009569279	3	24	3	0	held-out dataset has fewer than two donors in at least one age class; train or test set lacks both age classes
