model	split	seed	requested_cells_per_donor	median_effective_cells_per_donor	max_effective_cells_per_donor	note	auroc	auprc	balanced_accuracy
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1324	1	1.0	1		0.655328798185941	0.6415219726771184	0.6904761904761905
scVI_mean_embedding_pseudobulk	donor_holdout	1325	1	1.0	1		0.6840909090909091	0.7368973465130293	0.6022727272727273
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1325	1	1.0	1		0.7818181818181819	0.8154565460782037	0.6954545454545455
scVI_mean_embedding_pseudobulk	donor_holdout	1326	1	1.0	1		0.564625850340136	0.5174497811521583	0.5238095238095238
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1326	1	1.0	1		0.7369614512471655	0.7020169147175468	0.6428571428571428
scVI_mean_embedding_pseudobulk	donor_holdout	1327	1	1.0	1		0.448512585812357	0.5681355794509816	0.47139588100686497
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1327	1	1.0	1		0.6384439359267735	0.6353119256925218	0.5503432494279177
scVI_mean_embedding_pseudobulk	donor_holdout	1328	1	1.0	1		0.5759637188208616	0.6014794579220349	0.5952380952380952
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1328	1	1.0	1		0.6666666666666666	0.6420580669713928	0.6666666666666667
scVI_mean_embedding_pseudobulk	donor_holdout	1329	1	1.0	1		0.6045454545454546	0.6191959907677336	0.5931818181818183
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1329	1	1.0	1		0.625	0.5403338500753545	0.6227272727272727
scVI_mean_embedding_pseudobulk	donor_holdout	1330	1	1.0	1		0.5600961538461539	0.7031293094151444	0.4951923076923077
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1330	1	1.0	1		0.7163461538461539	0.7752094357069993	0.6201923076923077
scVI_mean_embedding_pseudobulk	donor_holdout	1301	2	2.0	2		0.6296296296296297	0.531144200890045	0.6319444444444444
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1301	2	2.0	2		0.7314814814814815	0.6163080163105794	0.6944444444444444
scVI_mean_embedding_pseudobulk	donor_holdout	1302	2	2.0	2		0.5782312925170068	0.6510266798265114	0.47619047619047616
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1302	2	2.0	2		0.5963718820861678	0.5685606542299492	0.5714285714285714
scVI_mean_embedding_pseudobulk	donor_holdout	1303	2	2.0	2		0.6247139588100686	0.6909636768125123	0.6338672768878719
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1303	2	2.0	2		0.7048054919908466	0.7249114784302473	0.6292906178489702
scVI_mean_embedding_pseudobulk	donor_holdout	1304	2	2.0	2		0.6412037037037037	0.669539138237784	0.5833333333333333
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1304	2	2.0	2		0.7986111111111112	0.8671643783191063	0.6597222222222223
scVI_mean_embedding_pseudobulk	donor_holdout	1305	2	2.0	2		0.6984126984126984	0.6851821873738078	0.6428571428571428
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1305	2	2.0	2		0.7596371882086168	0.7508512070192366	0.7142857142857143
scVI_mean_embedding_pseudobulk	donor_holdout	1306	2	2.0	2		0.6235294117647059	0.5113453517178558	0.5352941176470588
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1306	2	2.0	2		0.7670588235294117	0.7125256509395972	0.7023529411764706
scVI_mean_embedding_pseudobulk	donor_holdout	1307	2	2.0	2		0.7475961538461539	0.6271980797801933	0.6081730769230769
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1307	2	2.0	2		0.7620192307692307	0.5659947141165171	0.6971153846153846
scVI_mean_embedding_pseudobulk	donor_holdout	1308	2	2.0	2		0.8095238095238094	0.8396715485365056	0.6904761904761905
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1308	2	2.0	2		0.7891156462585034	0.7386846947505948	0.7619047619047619
scVI_mean_embedding_pseudobulk	donor_holdout	1309	2	2.0	2		0.7029478458049887	0.6624075643641649	0.6666666666666666
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1309	2	2.0	2		0.8231292517006802	0.7711802599239188	0.7619047619047619
scVI_mean_embedding_pseudobulk	donor_holdout	1310	2	2.0	2		0.7454545454545454	0.7275443649735933	0.6681818181818182
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1310	2	2.0	2		0.6863636363636364	0.7350291605316777	0.5704545454545455
scVI_mean_embedding_pseudobulk	donor_holdout	1311	2	2.0	2		0.6681818181818182	0.6607248918723028	0.6204545454545455
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1311	2	2.0	2		0.6477272727272727	0.6242295658708309	0.5931818181818183
scVI_mean_embedding_pseudobulk	donor_holdout	1312	2	2.0	2		0.625	0.5760472621277526	0.5486111111111112
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1312	2	2.0	2		0.7916666666666666	0.7757798621663565	0.6736111111111112
scVI_mean_embedding_pseudobulk	donor_holdout	1313	2	2.0	2		0.6886363636363636	0.7192836350957197	0.6454545454545455
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1313	2	2.0	2		0.7363636363636363	0.7167602784251879	0.6431818181818182
scVI_mean_embedding_pseudobulk	donor_holdout	1314	2	2.0	2		0.5882352941176471	0.5627292732965652	0.5541176470588236
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1314	2	2.0	2		0.771764705882353	0.7190092769819272	0.7341176470588235
scVI_mean_embedding_pseudobulk	donor_holdout	1315	2	2.0	2		0.6361556064073227	0.741993483073792	0.5594965675057209
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1315	2	2.0	2		0.8329519450800915	0.8395554369275713	0.7734553775743707
scVI_mean_embedding_pseudobulk	donor_holdout	1316	2	2.0	2		0.6485260770975056	0.7029612392139795	0.5476190476190477
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1316	2	2.0	2		0.7233560090702948	0.7502263529728719	0.6190476190476191
scVI_mean_embedding_pseudobulk	donor_holdout	1317	2	2.0	2		0.6898148148148148	0.712976520264317	0.6597222222222223
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1317	2	2.0	2		0.7384259259259259	0.6385533276915678	0.6875
scVI_mean_embedding_pseudobulk	donor_holdout	1318	2	2.0	2		0.3900226757369614	0.42974929970843967	0.5
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1318	2	2.0	2		0.6643990929705215	0.5974468056408558	0.5952380952380952
scVI_mean_embedding_pseudobulk	donor_holdout	1319	2	2.0	2		0.46031746031746035	0.46435739432027523	0.4523809523809524
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1319	2	2.0	2		0.5532879818594104	0.5532907453681339	0.5476190476190477
scVI_mean_embedding_pseudobulk	donor_holdout	1320	2	2.0	2		0.6910755148741419	0.7143615257941198	0.7070938215102975
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1320	2	2.0	2		0.8169336384439359	0.849475980930598	0.6727688787185355
scVI_mean_embedding_pseudobulk	donor_holdout	1321	2	2.0	2		0.6047058823529412	0.5173232429290933	0.6035294117647059
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1321	2	2.0	2		0.7835294117647058	0.7439684107305811	0.6635294117647059
scVI_mean_embedding_pseudobulk	donor_holdout	1322	2	2.0	2		0.7596371882086167	0.7736592582169226	0.7142857142857143
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1322	2	2.0	2		0.7619047619047619	0.7712175872123892	0.6428571428571428
scVI_mean_embedding_pseudobulk	donor_holdout	1323	2	2.0	2		0.650462962962963	0.7126659429066908	0.6597222222222222
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1323	2	2.0	2		0.6898148148148148	0.734428856769543	0.6180555555555556
scVI_mean_embedding_pseudobulk	donor_holdout	1324	2	2.0	2		0.5895691609977324	0.5821251835036472	0.5952380952380952
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1324	2	2.0	2		0.6575963718820862	0.6347591021102361	0.6190476190476191
scVI_mean_embedding_pseudobulk	donor_holdout	1325	2	2.0	2		0.7363636363636364	0.7944603306977723	0.6454545454545455
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1325	2	2.0	2		0.8704545454545454	0.8647866729391607	0.8113636363636363
scVI_mean_embedding_pseudobulk	donor_holdout	1326	2	2.0	2		0.6893424036281179	0.6095160367805216	0.6190476190476191
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1326	2	2.0	2		0.7006802721088436	0.6370068099098982	0.6904761904761905
scVI_mean_embedding_pseudobulk	donor_holdout	1327	2	2.0	2		0.6247139588100686	0.6274834634527163	0.6372997711670481
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1327	2	2.0	2		0.7757437070938215	0.8058089785877757	0.7242562929061784
scVI_mean_embedding_pseudobulk	donor_holdout	1328	2	2.0	2		0.6326530612244897	0.6353147120921335	0.6904761904761905
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1328	2	2.0	2		0.746031746031746	0.6848904469979217	0.6904761904761905
scVI_mean_embedding_pseudobulk	donor_holdout	1329	2	2.0	2		0.615909090909091	0.5548415709722025	0.6454545454545455
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1329	2	2.0	2		0.7022727272727273	0.646187917144725	0.7
scVI_mean_embedding_pseudobulk	donor_holdout	1330	2	2.0	2		0.6394230769230769	0.6989850529096729	0.6586538461538461
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1330	2	2.0	2		0.7524038461538463	0.7886984706383565	0.6971153846153846
scVI_mean_embedding_pseudobulk	donor_holdout	1301	4	4.0	4		0.662037037037037	0.6057896430118652	0.6180555555555556
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1301	4	4.0	4		0.8449074074074074	0.8170898100934887	0.7847222222222222
scVI_mean_embedding_pseudobulk	donor_holdout	1302	4	4.0	4		0.6190476190476191	0.6335256043029269	0.5952380952380952
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1302	4	4.0	4		0.7142857142857143	0.7221000199641656	0.6666666666666667
scVI_mean_embedding_pseudobulk	donor_holdout	1303	4	4.0	4		0.6636155606407323	0.7458138846505709	0.602974828375286
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1303	4	4.0	4		0.7780320366132722	0.8316112545995418	0.7036613272311212
scVI_mean_embedding_pseudobulk	donor_holdout	1304	4	4.0	4		0.736111111111111	0.7603584938276966	0.6597222222222223
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1304	4	4.0	4		0.8912037037037037	0.9331897411245237	0.8263888888888888
scVI_mean_embedding_pseudobulk	donor_holdout	1305	4	4.0	4		0.7324263038548753	0.6908471761056708	0.6428571428571428
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1305	4	4.0	4		0.7868480725623583	0.7796049030989323	0.6666666666666667
scVI_mean_embedding_pseudobulk	donor_holdout	1306	4	4.0	4		0.6894117647058824	0.5672711565342116	0.6235294117647059
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1306	4	4.0	4		0.8800000000000001	0.8274203276121435	0.7917647058823529
scVI_mean_embedding_pseudobulk	donor_holdout	1307	4	4.0	4		0.7644230769230769	0.5940004343351866	0.6466346153846154
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1307	4	4.0	4		0.8028846153846154	0.5833722597370548	0.8653846153846154
scVI_mean_embedding_pseudobulk	donor_holdout	1308	4	4.0	4		0.836734693877551	0.7838485956004017	0.7619047619047619
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1308	4	4.0	4		0.8503401360544218	0.8620076724642203	0.7857142857142857
scVI_mean_embedding_pseudobulk	donor_holdout	1309	4	4.0	4		0.764172335600907	0.7095408947129844	0.6666666666666667
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1309	4	4.0	4		0.8480725623582765	0.8211457729536014	0.8333333333333333
scVI_mean_embedding_pseudobulk	donor_holdout	1310	4	4.0	4		0.7727272727272727	0.7803545722372467	0.7613636363636364
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1310	4	4.0	4		0.8409090909090909	0.8500835397183534	0.8090909090909091
scVI_mean_embedding_pseudobulk	donor_holdout	1311	4	4.0	4		0.7181818181818183	0.685637799335765	0.5977272727272727
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1311	4	4.0	4		0.7613636363636365	0.7001120605906334	0.7363636363636363
scVI_mean_embedding_pseudobulk	donor_holdout	1312	4	4.0	4		0.736111111111111	0.6924226840814445	0.6597222222222223
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1312	4	4.0	4		0.8842592592592593	0.8251527575547184	0.7777777777777777
scVI_mean_embedding_pseudobulk	donor_holdout	1313	4	4.0	4		0.7090909090909091	0.7740931319665303	0.6977272727272728
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1313	4	4.0	4		0.8545454545454545	0.854687596474719	0.8113636363636363
scVI_mean_embedding_pseudobulk	donor_holdout	1314	4	4.0	4		0.6988235294117646	0.6530408329807347	0.6823529411764706
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1314	4	4.0	4		0.8235294117647058	0.7817103338401513	0.7023529411764706
scVI_mean_embedding_pseudobulk	donor_holdout	1315	4	4.0	4		0.780320366132723	0.8141814057427592	0.6727688787185355
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1315	4	4.0	4		0.8627002288329519	0.8520513644802346	0.6819221967963387
scVI_mean_embedding_pseudobulk	donor_holdout	1316	4	4.0	4		0.7414965986394557	0.7541237759454689	0.6666666666666667
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1316	4	4.0	4		0.8594104308390023	0.8811627167341138	0.7619047619047619
scVI_mean_embedding_pseudobulk	donor_holdout	1317	4	4.0	4		0.7361111111111112	0.7270003616913537	0.6666666666666666
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1317	4	4.0	4		0.6597222222222223	0.6655674718540217	0.6180555555555556
scVI_mean_embedding_pseudobulk	donor_holdout	1318	4	4.0	4		0.5079365079365079	0.5152084041594107	0.5476190476190477
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1318	4	4.0	4		0.7709750566893424	0.7024284038238041	0.6904761904761905
scVI_mean_embedding_pseudobulk	donor_holdout	1319	4	4.0	4		0.4761904761904762	0.46579517490797495	0.5
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1319	4	4.0	4		0.7074829931972789	0.6772367663980037	0.6428571428571428
scVI_mean_embedding_pseudobulk	donor_holdout	1320	4	4.0	4		0.8421052631578947	0.8648608887521316	0.7768878718535469
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1320	4	4.0	4		0.8375286041189932	0.8512602863811698	0.7597254004576659
scVI_mean_embedding_pseudobulk	donor_holdout	1321	4	4.0	4		0.7223529411764706	0.5854907702831578	0.6529411764705882
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1321	4	4.0	4		0.8376470588235294	0.774320729387453	0.7517647058823529
scVI_mean_embedding_pseudobulk	donor_holdout	1322	4	4.0	4		0.7664399092970522	0.7795403080634902	0.6666666666666666
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1322	4	4.0	4		0.7891156462585035	0.8179457949141304	0.7380952380952381
scVI_mean_embedding_pseudobulk	donor_holdout	1323	4	4.0	4		0.6851851851851851	0.7265081756051457	0.6597222222222222
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1323	4	4.0	4		0.7592592592592593	0.8314112943353766	0.625
scVI_mean_embedding_pseudobulk	donor_holdout	1324	4	4.0	4		0.6462585034013606	0.6283548666939545	0.6190476190476191
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1324	4	4.0	4		0.6893424036281179	0.6548343576072622	0.6428571428571428
scVI_mean_embedding_pseudobulk	donor_holdout	1325	4	4.0	4		0.7931818181818182	0.8201706099693158	0.7204545454545455
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1325	4	4.0	4		0.8795454545454545	0.8920577839284596	0.8090909090909091
scVI_mean_embedding_pseudobulk	donor_holdout	1326	4	4.0	4		0.6984126984126984	0.6808511777061295	0.6190476190476191
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1326	4	4.0	4		0.8662131519274376	0.8921397330862171	0.7619047619047619
scVI_mean_embedding_pseudobulk	donor_holdout	1327	4	4.0	4		0.6887871853546912	0.7302403047019322	0.6018306636155606
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1327	4	4.0	4		0.8581235697940504	0.9008222177595695	0.7459954233409611
scVI_mean_embedding_pseudobulk	donor_holdout	1328	4	4.0	4		0.6643990929705215	0.646528544663364	0.6190476190476191
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1328	4	4.0	4		0.8095238095238095	0.8009260464884227	0.7619047619047619
scVI_mean_embedding_pseudobulk	donor_holdout	1329	4	4.0	4		0.6704545454545454	0.6314131040409814	0.65
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1329	4	4.0	4		0.8045454545454546	0.7954494844429432	0.7477272727272727
scVI_mean_embedding_pseudobulk	donor_holdout	1330	4	4.0	4		0.5096153846153847	0.6299917411523643	0.5264423076923077
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1330	4	4.0	4		0.7740384615384616	0.7957308390545412	0.7235576923076923
scVI_mean_embedding_pseudobulk	donor_holdout	1301	8	8.0	8		0.8101851851851852	0.6655399292530805	0.7361111111111112
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1301	8	8.0	8		0.900462962962963	0.8886750029010091	0.7847222222222222
scVI_mean_embedding_pseudobulk	donor_holdout	1302	8	8.0	8		0.6802721088435374	0.7260986143384756	0.5952380952380952
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1302	8	8.0	8		0.8571428571428572	0.8708357857517521	0.7619047619047619
scVI_mean_embedding_pseudobulk	donor_holdout	1303	8	8.0	8		0.7276887871853548	0.6926968705504978	0.7425629290617849
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1303	8	8.0	8		0.8649885583524028	0.894852903030664	0.834096109839817
scVI_mean_embedding_pseudobulk	donor_holdout	1304	8	8.0	8		0.7291666666666666	0.6921414048620952	0.7569444444444444
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1304	8	8.0	8		0.8449074074074074	0.863615897052763	0.7847222222222222
scVI_mean_embedding_pseudobulk	donor_holdout	1305	8	8.0	8		0.7845804988662131	0.7090601182648436	0.7142857142857142
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1305	8	8.0	8		0.8049886621315192	0.8268556494737163	0.6904761904761905
scVI_mean_embedding_pseudobulk	donor_holdout	1306	8	8.0	8		0.7647058823529411	0.6252028499057234	0.7023529411764706
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1306	8	8.0	8		0.9529411764705882	0.9481336012665936	0.8117647058823529
scVI_mean_embedding_pseudobulk	donor_holdout	1307	8	8.0	8		0.8870192307692308	0.714405065179059	0.8918269230769231
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1307	8	8.0	8		0.8918269230769231	0.7273659267812249	0.8725961538461539
scVI_mean_embedding_pseudobulk	donor_holdout	1308	8	8.0	8		0.8616780045351474	0.7625405424082905	0.8571428571428572
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1308	8	8.0	8		0.8662131519274376	0.8851209454966131	0.7619047619047619
scVI_mean_embedding_pseudobulk	donor_holdout	1309	8	8.0	8		0.7732426303854876	0.6924273935776958	0.7857142857142857
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1309	8	8.0	8		0.8458049886621315	0.806941716601085	0.7857142857142857
scVI_mean_embedding_pseudobulk	donor_holdout	1310	8	8.0	8		0.7977272727272727	0.7429183491894581	0.8340909090909091
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1310	8	8.0	8		0.8431818181818183	0.8176727885960133	0.8318181818181818
scVI_mean_embedding_pseudobulk	donor_holdout	1311	8	8.0	8		0.8636363636363636	0.8146301772998135	0.8090909090909091
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1311	8	8.0	8		0.884090909090909	0.913464551933245	0.7363636363636363
scVI_mean_embedding_pseudobulk	donor_holdout	1312	8	8.0	8		0.7777777777777777	0.6924081084884094	0.7291666666666667
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1312	8	8.0	8		0.8819444444444445	0.8218103973005934	0.7777777777777777
scVI_mean_embedding_pseudobulk	donor_holdout	1313	8	8.0	8		0.8068181818181818	0.7983447825522751	0.7204545454545455
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1313	8	8.0	8		0.8931818181818182	0.915532498978031	0.7863636363636364
scVI_mean_embedding_pseudobulk	donor_holdout	1314	8	8.0	8		0.8047058823529412	0.6808967333279845	0.7117647058823529
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1314	8	8.0	8		0.908235294117647	0.8033785495550201	0.8011764705882353
scVI_mean_embedding_pseudobulk	donor_holdout	1315	8	8.0	8		0.8627002288329519	0.8911884674154275	0.8123569794050343
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1315	8	8.0	8		0.8947368421052632	0.9249756708196606	0.799771167048055
scVI_mean_embedding_pseudobulk	donor_holdout	1316	8	8.0	8		0.7392290249433107	0.7293955267044512	0.6428571428571428
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1316	8	8.0	8		0.9206349206349206	0.936855057698575	0.7380952380952381
scVI_mean_embedding_pseudobulk	donor_holdout	1317	8	8.0	8		0.7523148148148148	0.7147574352671147	0.7361111111111112
