model	split	seed	requested_cells_per_donor	median_effective_cells_per_donor	max_effective_cells_per_donor	note	auroc	auprc	balanced_accuracy
scVI_mean_embedding_pseudobulk	donor_holdout	1301	1	1.0	1		0.5115740740740742	0.4783242464227697	0.5277777777777778
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1301	1	1.0	1		0.6342592592592593	0.5066613612017503	0.6388888888888888
scVI_mean_embedding_pseudobulk	donor_holdout	1302	1	1.0	1		0.526077097505669	0.5605904321028201	0.47619047619047616
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1302	1	1.0	1		0.6689342403628118	0.5917120849454497	0.5476190476190477
scVI_mean_embedding_pseudobulk	donor_holdout	1303	1	1.0	1		0.6613272311212816	0.7646232695508397	0.6464530892448512
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1303	1	1.0	1		0.7208237986270023	0.7828944098996572	0.6773455377574371
scVI_mean_embedding_pseudobulk	donor_holdout	1304	1	1.0	1		0.5324074074074074	0.652270062479603	0.5347222222222222
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1304	1	1.0	1		0.6805555555555556	0.7736074991766164	0.6041666666666666
scVI_mean_embedding_pseudobulk	donor_holdout	1305	1	1.0	1		0.712018140589569	0.7396001391605849	0.7142857142857143
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1305	1	1.0	1		0.6326530612244897	0.6639259191420845	0.5714285714285714
scVI_mean_embedding_pseudobulk	donor_holdout	1306	1	1.0	1		0.7976470588235294	0.7377969290138617	0.7117647058823529
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1306	1	1.0	1		0.6423529411764706	0.5727399293505855	0.6435294117647059
scVI_mean_embedding_pseudobulk	donor_holdout	1307	1	1.0	1		0.7163461538461539	0.5686051215163934	0.6394230769230769
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1307	1	1.0	1		0.6850961538461539	0.4941082389036767	0.5841346153846154
scVI_mean_embedding_pseudobulk	donor_holdout	1308	1	1.0	1		0.6349206349206349	0.6808242933732684	0.5952380952380952
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1308	1	1.0	1		0.7052154195011338	0.7001148788546006	0.5952380952380952
scVI_mean_embedding_pseudobulk	donor_holdout	1309	1	1.0	1		0.6780045351473923	0.6435696095763618	0.6904761904761905
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1309	1	1.0	1		0.7528344671201814	0.7224915986448851	0.6428571428571428
scVI_mean_embedding_pseudobulk	donor_holdout	1310	1	1.0	1		0.5295454545454544	0.5599584914056172	0.4954545454545455
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1310	1	1.0	1		0.6204545454545455	0.6596301821526753	0.5227272727272727
scVI_mean_embedding_pseudobulk	donor_holdout	1311	1	1.0	1		0.6068181818181817	0.6307311824960514	0.6454545454545455
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1311	1	1.0	1		0.634090909090909	0.5995945812190504	0.5931818181818183
scVI_mean_embedding_pseudobulk	donor_holdout	1312	1	1.0	1		0.49768518518518523	0.4968040714772741	0.5138888888888888
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1312	1	1.0	1		0.7199074074074073	0.661324208074696	0.6458333333333333
scVI_mean_embedding_pseudobulk	donor_holdout	1313	1	1.0	1		0.6477272727272727	0.7322626142968289	0.5454545454545454
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1313	1	1.0	1		0.6727272727272727	0.6809795391550895	0.5977272727272727
scVI_mean_embedding_pseudobulk	donor_holdout	1314	1	1.0	1		0.5929411764705882	0.5811151931530734	0.5635294117647058
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1314	1	1.0	1		0.7270588235294118	0.6597793655601062	0.7329411764705882
scVI_mean_embedding_pseudobulk	donor_holdout	1315	1	1.0	1		0.5469107551487413	0.6351641866446667	0.5411899313501144
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1315	1	1.0	1		0.700228832951945	0.6726281172849768	0.6510297482837528
scVI_mean_embedding_pseudobulk	donor_holdout	1316	1	1.0	1		0.564625850340136	0.6119260960057611	0.5952380952380952
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1316	1	1.0	1		0.5895691609977324	0.6047108261537133	0.5238095238095238
scVI_mean_embedding_pseudobulk	donor_holdout	1317	1	1.0	1		0.5694444444444444	0.5733444716077324	0.6111111111111112
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1317	1	1.0	1		0.6458333333333333	0.5648446412139914	0.6180555555555556
scVI_mean_embedding_pseudobulk	donor_holdout	1318	1	1.0	1		0.5124716553287982	0.5164034420358624	0.5
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1318	1	1.0	1		0.6122448979591837	0.5879959391765989	0.5714285714285714
scVI_mean_embedding_pseudobulk	donor_holdout	1319	1	1.0	1		0.4671201814058957	0.4699759242706129	0.5
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1319	1	1.0	1		0.4421768707482993	0.47774772952521644	0.47619047619047616
scVI_mean_embedding_pseudobulk	donor_holdout	1320	1	1.0	1		0.6544622425629291	0.7143847118304014	0.6327231121281465
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1320	1	1.0	1		0.6681922196796338	0.771073357999593	0.6556064073226544
scVI_mean_embedding_pseudobulk	donor_holdout	1321	1	1.0	1		0.6941176470588235	0.5512276493620554	0.6035294117647059
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1321	1	1.0	1		0.7458823529411766	0.7171289468748634	0.6635294117647059
scVI_mean_embedding_pseudobulk	donor_holdout	1322	1	1.0	1		0.7482993197278911	0.8011412825712914	0.6666666666666667
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1322	1	1.0	1		0.7596371882086168	0.7408533007460829	0.6904761904761905
scVI_mean_embedding_pseudobulk	donor_holdout	1323	1	1.0	1		0.4699074074074074	0.55949935887513	0.5833333333333333
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	1323	1	1.0	1		0.6435185185185185	0.6912022592274498	0.6527777777777778
scVI_mean_embedding_pseudobulk	donor_holdout	1324	1	1.0	1		0.7142857142857143	0.750809918319336	0.6190476190476191
