PC1	PC2	age_group	disease	dataset_id
0.0064121988	-0.25241938	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.7437683	4.7573576	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.0942901	0.3945065	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.8909653	4.6319723	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.8110404	2.4895008	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.112393	3.1234343	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.3893216	3.8235958	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-5.3750963	2.886477	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.9496745	2.5055473	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.6562696	1.0519725	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.6587849	1.0674312	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.9491917	4.702214	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.765172	-2.5002496	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-5.119754	0.75409395	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-0.9201867	1.2325208	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
0.58722854	-4.405988	old	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-5.060789	0.8894917	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-1.9501094	5.2540264	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.4013138	3.536265	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.7696655	2.3134294	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-4.710729	1.0362375	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-2.4747021	4.673345	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
-3.381185	1.1084846	young	normal	c838aec3-03ef-4398-b882-0e3912abfff0
