dataset_id	age_group	donor_n
0a8e3443-c3e2-4918-84db-0495657d9175	young	2
0c0c49a2-b96b-432f-98a4-1decf9929149	old	3
21d3e683-80a4-4d9b-bc89-ebb2df513dde	old	4
242c6e7f-9016-4048-af70-d631f5eea188	old	1
242c6e7f-9016-4048-af70-d631f5eea188	young	1
3cb646ab-d411-4e5b-89eb-082a786c953b	old	5
420d0f5d-b7ba-4b1e-88d0-44e9f733febd	young	1
46104f0b-9af5-466a-ae0f-56b8dc1969a2	young	3
47e00f43-6176-44a5-b4d1-f88a1920fcab	old	6
5fde5c9c-5b1e-4df5-982a-3f8e7635161f	young	2
aa32098f-f7b0-43f2-a00a-601d190aae94	old	10
b0e547f0-462b-4f81-b31b-5b0a5d96f537	old	1
b0e547f0-462b-4f81-b31b-5b0a5d96f537	young	1
c838aec3-03ef-4398-b882-0e3912abfff0	old	40
c838aec3-03ef-4398-b882-0e3912abfff0	young	57
e522d2cd-7927-4e59-a4ed-064009569279	young	3
