model	split	n	auroc_mean	auroc_sd	auroc_ci95_low	auroc_ci95_high	auprc_mean	auprc_sd	auprc_ci95_low	auprc_ci95_high	balanced_accuracy_mean	balanced_accuracy_sd	balanced_accuracy_ci95_low	balanced_accuracy_ci95_high
TranscriptFormer_embedding_logistic	dataset_holdout	30	0.44462672961587146	0.16571304483457638	0.3853270780997467	0.5039263811319963	0.5778598374064112	0.2514847814131811	0.4878671641422312	0.6678525106705913	0.4351319639075342	0.12806724290794608	0.3893036895996595	0.48096023821540895
TranscriptFormer_embedding_logistic_label_shuffled	dataset_holdout	30	0.5254742741104498	0.1306134114709147	0.4787348650839048	0.5722136831369948	0.5897520669110542	0.24363599798622038	0.5025680447250612	0.6769360890970472	0.5265565459694697	0.10815206604611018	0.48785482617616416	0.5652582657627752
TranscriptFormer_mean_embedding_pseudobulk	dataset_holdout	30	0.6587722300095985	0.2503675058808781	0.5691793686599191	0.7483650913592779	0.7428430553916026	0.25594492212649245	0.651254341270915	0.8344317695122901	0.5629158044309468	0.22416108993745684	0.48270078858813636	0.6431308202737572
metadata_confounder_logistic	dataset_holdout	30	0.3655349988598368	0.2810416522537443	0.2649655352017432	0.4661044625179304	0.6123000326345398	0.2588757040887618	0.5196625516578343	0.7049375136112453	0.40897948897102293	0.16895924710472374	0.34851819889130314	0.4694407790507427
metadata_confounder_logistic_label_shuffled	dataset_holdout	30	0.5817200469005407	0.2580998737296677	0.4893601932523043	0.6740799005487771	0.6879506153157399	0.2837484401596997	0.5864125400452567	0.7894886905862231	0.5639493786384027	0.17859621175386825	0.5000395450481949	0.6278592122286104
scVI_embedding_logistic	dataset_holdout	30	0.501221313782373	0.18415551202858954	0.43532211013808436	0.5671205174266617	0.5944212895452063	0.2878747004291136	0.4914066510006288	0.6974359280897838	0.4824213329178141	0.11291500363956286	0.4420152177960253	0.5228274480396029
scVI_embedding_logistic_label_shuffled	dataset_holdout	30	0.5355903127117181	0.15090256456241885	0.48159052349552334	0.5895901019279128	0.6078477338959014	0.20520494301270656	0.5344160881121487	0.6812793796796541	0.5218653239359415	0.10239326379495405	0.4852243650621203	0.5585062828097628
scVI_mean_embedding_pseudobulk	dataset_holdout	30	0.5660585387348004	0.24431639150104673	0.47863104085645436	0.6534860366131464	0.6672069023836642	0.26160092934695084	0.5735942120728059	0.7608195926945225	0.5351456175528209	0.19939470435412557	0.46379313897055985	0.6064980961350819
TranscriptFormer_embedding_logistic	disease_free_dataset_holdout	30	0.5495545972441221	0.10890979952720062	0.5105817260069722	0.5885274684812721	0.5895990990766184	0.1433815032095299	0.5382906871005373	0.6409075110526996	0.508299078693749	0.09426221937800443	0.4745677766961777	0.5420303806913203
TranscriptFormer_mean_embedding_pseudobulk	disease_free_dataset_holdout	30	0.669604335831621	0.2721171947742691	0.5722284482678636	0.7669802233953785	0.7213795402744866	0.21531554337224773	0.6443298626179981	0.7984292179309751	0.6384266069829264	0.19601936681258864	0.568281977427652	0.7085712365382009
metadata_confounder_logistic	disease_free_dataset_holdout	30	0.2962426145888333	0.24073260311874278	0.21009755891285165	0.3823876702648149	0.5081999443997433	0.20466584339286406	0.43496121293737694	0.5814386758621096	0.41215837434190766	0.17252872555049065	0.3504197628048482	0.4738969858789671
scVI_embedding_logistic	disease_free_dataset_holdout	30	0.5183288088778512	0.15300547993384786	0.46357650106049175	0.5730811166952106	0.549878883759681	0.2193490968758321	0.4713858175191919	0.6283719500001701	0.5063119097529745	0.09592724392636703	0.4719847863728303	0.5406390331331186
scVI_mean_embedding_pseudobulk	disease_free_dataset_holdout	30	0.4923985993386957	0.2511953299173766	0.4025095049620387	0.5822876937153527	0.6114561128210912	0.25558254142125714	0.5199970749703562	0.7029151506718263	0.4962797049706532	0.12326525526280414	0.452169799872794	0.5403896100685124
