model	split	n	auroc_mean	auroc_sd	auroc_ci95_low	auroc_ci95_high	auprc_mean	auprc_sd	auprc_ci95_low	auprc_ci95_high	balanced_accuracy_mean	balanced_accuracy_sd	balanced_accuracy_ci95_low	balanced_accuracy_ci95_high
TranscriptFormer_embedding_logistic	disease_free_donor_holdout	30	0.7896336008225793	0.033737802496385645	0.7775606832502019	0.8017065183949567	0.7726107716814343	0.052792758219761225	0.753719125775513	0.7915024175873556	0.7147063362230456	0.031009813449396448	0.7036096169939414	0.7258030554521497
TranscriptFormer_mean_embedding_pseudobulk	disease_free_donor_holdout	30	0.9052962002624001	0.026451866997575835	0.8958305212238369	0.9147618793009633	0.8983075859470545	0.04239337018672817	0.8831373132556284	0.9134778586384806	0.8232032737058984	0.052737601551315405	0.8043313653602935	0.8420751820515033
metadata_confounder_logistic	disease_free_donor_holdout	30	0.5851576450489158	0.06882796041541539	0.5605278757312733	0.6097874143665583	0.6232298825825945	0.07423688364311506	0.5966645549460505	0.6497952102191384	0.535634978881384	0.05927899993868609	0.5144222611855771	0.5568476965771909
scVI_embedding_logistic	disease_free_donor_holdout	30	0.6806019184080058	0.040047787554146466	0.6662710016819064	0.6949328351341051	0.6679316860780214	0.05795255537243956	0.6471936304742206	0.6886697416818223	0.631226085780569	0.03506998613341941	0.6186764524160798	0.6437757191450583
scVI_mean_embedding_pseudobulk	disease_free_donor_holdout	30	0.8018162564446674	0.05896733159178617	0.7807150678344446	0.8229174450548902	0.7948676087993201	0.07412416982143231	0.7683426152858592	0.8213926023127809	0.7282869716532052	0.06822917274830803	0.7038714757503507	0.7527024675560597
TranscriptFormer_embedding_logistic	disease_free_random_cell	30	0.8358235410778918	0.020295626914389287	0.8285608442604747	0.8430862378953089	0.8232416711050579	0.030381640118924323	0.8123697408153272	0.8341136013947885	0.7541065496554117	0.01939767512836121	0.7471651807578509	0.7610479185529725
metadata_confounder_logistic	disease_free_random_cell	30	0.6513244335366156	0.021729006794701296	0.6435488083165035	0.6591000587567277	0.6437222804022943	0.016711872688127093	0.6377420135646591	0.6497025472399295	0.5980812137438644	0.017645536265790733	0.591766839685859	0.6043955878018697
scVI_embedding_logistic	disease_free_random_cell	30	0.7203864842084386	0.0215393768675194	0.7126787171862744	0.7280942512306029	0.6977647450207425	0.02664188845567916	0.6882310676766906	0.7072984223647943	0.6675727601765086	0.02205250388378026	0.6596813730097857	0.6754641473432315
TranscriptFormer_embedding_logistic	donor_holdout	30	0.7009369580583938	0.032713235599307326	0.689230677041469	0.7126432390753187	0.6468667020866158	0.055092901324250924	0.6271519605416661	0.6665814436315655	0.6433508776516662	0.025846044427708416	0.634101989435513	0.6525997658678194
TranscriptFormer_embedding_logistic_label_shuffled	donor_holdout	30	0.49682580281021244	0.04399685556926512	0.4810817302438847	0.5125698753765402	0.4862179457704079	0.061142600294943374	0.46433834725178036	0.5080975442890354	0.4942770865188002	0.030566349808959364	0.4833390587153725	0.5052151143222279
TranscriptFormer_mean_embedding_pseudobulk	donor_holdout	30	0.8553621727873574	0.05190312084228005	0.836788879528405	0.8739354660463098	0.8484670829774404	0.06949803667681886	0.8235975299491666	0.8733366360057143	0.7627247230037477	0.05529757046688842	0.7429367415467162	0.7825127044607793
metadata_confounder_logistic	donor_holdout	30	0.7048064605839267	0.0743915852330653	0.6781857736943909	0.7314271474734625	0.716304305120243	0.059839138357331394	0.6948911444655874	0.7377174657748986	0.6359197246085906	0.0621684530254385	0.6136730294049317	0.6581664198122494
metadata_confounder_logistic_label_shuffled	donor_holdout	30	0.5066293977368285	0.1284413850644075	0.4606672383777328	0.5525915570959241	0.5356311014990496	0.09613389328353089	0.5012300295961558	0.5700321734019433	0.5062919126965396	0.09914936728081981	0.47081176728212076	0.5417720581109584
scVI_embedding_logistic	donor_holdout	30	0.6708803982230006	0.04644668815997029	0.6542596643229397	0.6875011321230615	0.6288825721222809	0.06954610982405295	0.6039958163392022	0.6537693279053597	0.621195546033224	0.03780085178503978	0.6076686849457146	0.6347224071207335
scVI_embedding_logistic_label_shuffled	donor_holdout	30	0.5121027417241285	0.04490579465875849	0.49603340948189445	0.5281720739663626	0.5034032960627188	0.06366256642623526	0.4806219392451764	0.5261846528802613	0.5089692618278985	0.03931791487631987	0.4948995266852373	0.5230389969705597
scVI_mean_embedding_pseudobulk	donor_holdout	30	0.7633509626059606	0.072884568052086	0.737269554888744	0.7894323703231771	0.7125705504309832	0.0850799733558315	0.6821250729730173	0.743016027888949	0.7219244136857541	0.0783052173313776	0.693903251535964	0.7499455758355442
TranscriptFormer_embedding_logistic	random_cell	30	0.7488182027472949	0.014589613795934457	0.7435973765008314	0.7540390289937585	0.7059178074009739	0.023620224651697736	0.6974654185623252	0.7143701962396225	0.6838423758729184	0.022227822905412933	0.675888251600029	0.6917965001458078
TranscriptFormer_embedding_logistic_label_shuffled	random_cell	30	0.4993681733302638	0.0392128878719413	0.48533602161844025	0.5134003250420873	0.49234226436815914	0.032446345035245294	0.4807314889130181	0.5039530398233002	0.5003952114189241	0.033053764659103056	0.48856707364294233	0.5122233491949059
metadata_confounder_logistic	random_cell	30	0.7687904484178752	0.01901172775828933	0.7619871890129719	0.7755937078227786	0.7578887525374759	0.015629609394317064	0.7522957686457047	0.7634817364292471	0.6900448929475864	0.015991597600241752	0.6843223732399372	0.6957674126552357
metadata_confounder_logistic_label_shuffled	random_cell	30	0.4912868032640115	0.10211028108542573	0.4547471084522734	0.5278264980757496	0.5263726683750849	0.08264620057290237	0.49679810532244656	0.5559472314277233	0.48647072365896715	0.08743826672868685	0.4551813417556831	0.5177601055622513
scVI_embedding_logistic	random_cell	30	0.7074923899419332	0.02273128047874191	0.6993581056901998	0.7156266741936665	0.6625643459340522	0.026331091747006843	0.6531418857638507	0.6719868061042538	0.6522523213874606	0.022681206360946934	0.6441359559286514	0.6603686868462698
scVI_embedding_logistic_label_shuffled	random_cell	30	0.48583250198245215	0.053461837806485855	0.46670142902135286	0.5049635749435514	0.4893415917030871	0.04638693280761731	0.47274224098124423	0.5059409424249299	0.4930422326247666	0.04161830346874951	0.4781493139963459	0.5079351512531872
