tissue_general	cell_type	donor_n	cell_n	dataset_n	collection_n	assay_n	disease_n	young_or_adult_donor_n	old_or_elderly_donor_n	annotated_other_donor_n	unknown_donor_n	disease_free_donor_n	disease_free_donor_fraction	feasibility_status
blood	T cell	824	125501	20	12	7	4	61	727	50	0	719.0	0.8725728155339806	eligible_stratum
breast	macrophage	301	60757	9	7	5	7	134	138	29	0	203.0	0.6744186046511628	eligible_stratum
breast	fibroblast	288	321097	10	7	7	9	192	72	24	0	163.0	0.5659722222222222	eligible_stratum
eye	fibroblast	256	733112	18	11	6	3	11	195	50	0	243.0	0.94921875	eligible_stratum
breast	T cell	197	123745	8	6	8	8	144	38	15	0	106.0	0.5380710659898477	eligible_stratum
liver	macrophage	144	109647	16	13	7	8	29	73	42	0	89.0	0.6180555555555556	eligible_stratum
small intestine	macrophage	127	42325	11	11	9	4	15	41	73	0	106.0	0.8346456692913385	eligible_stratum
small intestine	fibroblast	125	55241	10	9	7	3	12	42	71	0	96.0	0.768	eligible_stratum
colon	fibroblast	119	56509	9	9	6	10	10	60	49	0	92.0	0.773109243697479	eligible_stratum
bone marrow	macrophage	118	6509	9	7	7	4	45	35	40	0	59.0	0.5	eligible_stratum
small intestine	monocyte	106	4329	8	8	6	3	11	42	53	0	79.0	0.7452830188679245	eligible_stratum
liver	monocyte	92	54403	10	7	6	5	30	38	24	0	58.0	0.6304347826086957	eligible_stratum
colon	macrophage	90	14129	8	8	6	5	17	23	50	0	75.0	0.8333333333333334	eligible_stratum
colon	T cell	85	9830	6	6	6	8	10	49	26	0	69.0	0.8117647058823529	eligible_stratum
bone marrow	T cell	63	1344	4	4	5	2	24	39	0	0	40.0	0.6349206349206349	eligible_stratum
mucosa	T cell	54	8157	4	4	3	3	10	41	3	0	40.0	0.7407407407407407	eligible_stratum
mucosa	fibroblast	43	20744	4	4	2	3	10	30	3	0	29.0	0.6744186046511628	eligible_stratum
mucosa	macrophage	38	3142	3	3	2	3	10	25	3	0	24.0	0.631578947368421	eligible_stratum
brain	endothelial cell	1895	138172	134	28	9	116	36	1763	96	0	558.0	0.29445910290237465	metadata_limited
brain	T cell	1157	35970	17	13	5	85	29	1091	37	0	340.0	0.2938634399308557	metadata_limited
brain	macrophage	314	370373	16	14	9	12	23	170	121	0	51.0	0.1624203821656051	metadata_limited
lymph node	macrophage	307	136959	11	11	8	7	3	36	270	0	59.0	0.19218241042345277	metadata_limited
lymph node	endothelial cell	251	48581	8	7	5	6	2	25	224	0	30.0	0.11952191235059761	metadata_limited
lymph node	monocyte	235	12187	6	6	5	3	0	9	226	0	28.0	0.11914893617021277	metadata_limited
lymph node	fibroblast	234	67679	5	5	4	5	0	11	223	0	15.0	0.0641025641025641	metadata_limited
brain	monocyte	191	42191	7	6	9	5	16	102	73	0	4.0	0.020942408376963352	metadata_limited
breast	endothelial cell	158	35191	7	6	8	10	61	76	21	0	17.0	0.10759493670886076	metadata_limited
vasculature	macrophage	69	60726	5	5	5	3	0	37	32	0	11.0	0.15942028985507245	metadata_limited
vasculature	T cell	61	99460	3	3	4	2	0	30	31	0	4.0	0.06557377049180328	metadata_limited
vasculature	monocyte	61	13043	3	3	3	2	0	31	30	0	5.0	0.08196721311475409	metadata_limited
vasculature	fibroblast	59	41133	5	5	5	3	0	36	23	0	12.0	0.2033898305084746	metadata_limited
vasculature	endothelial cell	56	14958	4	4	5	3	0	30	26	0	6.0	0.10714285714285714	metadata_limited
central nervous system	T cell	53	1632	1	1	1	1	0	53	0	0	53.0	1.0	metadata_limited
abdomen	T cell	47	92008	2	2	1	2	0	47	0	0		0.0	metadata_limited
digestive system	T cell	46	11945	2	2	2	5	0	12	34	0	7.0	0.15217391304347827	metadata_limited
nose	monocyte	44	5452	1	1	2	2	4	5	35	0	23.0	0.5227272727272727	metadata_limited
nose	macrophage	44	244	1	1	1	2	4	5	35	0	26.0	0.5909090909090909	metadata_limited
abdomen	fibroblast	41	57216	2	2	1	2	0	41	0	0		0.0	metadata_limited
omentum	fibroblast	38	38426	2	2	2	2	0	38	0	0	3.0	0.07894736842105263	metadata_limited
omentum	T cell	37	58504	2	2	2	2	0	37	0	0	3.0	0.08108108108108109	metadata_limited
omentum	monocyte	37	36630	2	2	2	2	0	37	0	0	3.0	0.08108108108108109	metadata_limited
digestive system	macrophage	37	681	1	1	1	4	0	0	37	0	9.0	0.24324324324324326	metadata_limited
omentum	endothelial cell	36	6812	2	2	2	2	0	36	0	0	2.0	0.05555555555555555	metadata_limited
abdomen	endothelial cell	34	8619	2	2	1	2	0	34	0	0		0.0	metadata_limited
prostate gland	macrophage	32	2925	4	4	3	2	0	28	4	0	8.0	0.25	metadata_limited
abdomen	monocyte	31	55020	1	1	1	1	0	31	0	0		0.0	metadata_limited
prostate gland	T cell	30	10225	4	4	4	2	0	27	3	0	6.0	0.2	metadata_limited
prostate gland	endothelial cell	28	4755	3	3	3	2	0	28	0	0	4.0	0.14285714285714285	metadata_limited
breast	monocyte	28	2421	2	2	3	4	1	27	0	0		0.0	metadata_limited
ovary	fibroblast	27	50949	3	3	3	3	0	15	12	0	4.0	0.14814814814814814	metadata_limited
prostate gland	monocyte	25	868	2	2	2	2	0	25	0	0	1.0	0.04	metadata_limited
uterus	monocyte	21	47039	3	3	2	2	0	21	0	0	3.0	0.14285714285714285	metadata_limited
uterus	T cell	21	32457	3	3	3	2	0	21	0	0	3.0	0.14285714285714285	metadata_limited
uterus	endothelial cell	21	12717	3	3	3	2	0	21	0	0	3.0	0.14285714285714285	metadata_limited
ovary	monocyte	20	33748	3	3	2	2	0	18	2	0	5.0	0.25	metadata_limited
pleural fluid	macrophage	18	3047	3	3	3	5	7	6	5	0		0.0	metadata_limited
hindlimb	macrophage	17	453	1	1	2	1	0	0	17	0	17.0	1.0	metadata_limited
abdomen	macrophage	16	10291	1	1	1	1	0	16	0	0		0.0	metadata_limited
cerebrospinal fluid	macrophage	16	4893	1	1	1	4	1	15	0	0		0.0	metadata_limited
cerebrospinal fluid	monocyte	16	4683	1	1	1	4	1	15	0	0		0.0	metadata_limited
skeletal system	macrophage	15	1124	6	5	3	6	4	9	2	0	3.0	0.2	metadata_limited
milk	macrophage	15	6384	1	1	1	1	0	13	2	0	15.0	1.0	metadata_limited
hindlimb	monocyte	15	208	1	1	2	1	0	0	15	0	15.0	1.0	metadata_limited
milk	T cell	14	792	1	1	1	1	0	12	2	0	14.0	1.0	metadata_limited
exocrine gland	T cell	13	2514	3	3	3	2	0	13	0	0	8.0	0.6153846153846154	metadata_limited
skeletal system	T cell	12	2527	5	4	3	5	1	9	2	0	3.0	0.25	metadata_limited
spleen	fibroblast	12	34459	3	3	4	1	0	2	10	0	12.0	1.0	metadata_limited
exocrine gland	macrophage	12	2786	3	3	3	3	4	8	0	0	8.0	0.6666666666666666	metadata_limited
pancreas	macrophage	12	2509	3	3	3	1	1	8	3	0	12.0	1.0	metadata_limited
large intestine	endothelial cell	11	1876	4	4	4	4	0	4	7	0	7.0	0.6363636363636364	metadata_limited
adipose tissue	fibroblast	11	26401	3	3	4	1	0	7	4	0	11.0	1.0	metadata_limited
ureter	fibroblast	11	2727	3	2	2	1	0	11	0	0	11.0	1.0	metadata_limited
ureter	endothelial cell	11	709	3	2	2	1	0	11	0	0	11.0	1.0	metadata_limited
ureter	T cell	11	3052	2	2	2	1	0	11	0	0	11.0	1.0	metadata_limited
placenta	monocyte	11	52	2	2	2	1	0	0	11	0	11.0	1.0	metadata_limited
reproductive system	macrophage	11	7439	1	1	1	1	0	0	11	0	11.0	1.0	metadata_limited
hindlimb	fibroblast	11	4529	1	1	1	1	0	0	11	0	11.0	1.0	metadata_limited
central nervous system	monocyte	11	915	1	1	1	1	3	0	8	0	11.0	1.0	metadata_limited
skeletal system	endothelial cell	10	471	4	4	2	5	1	6	3	0	4.0	0.4	metadata_limited
fallopian tube	fibroblast	10	13112	3	3	2	3	1	9	0	0	5.0	0.5	metadata_limited
musculature	endothelial cell	10	5373	3	3	2	2	0	9	1	0	7.0	0.7	metadata_limited
bone marrow	fibroblast	10	94	2	2	5	1	0	3	7	0	10.0	1.0	metadata_limited
reproductive system	monocyte	10	1945	1	1	1	1	0	0	10	0	10.0	1.0	metadata_limited
saliva	macrophage	10	1251	1	1	1	1	0	10	0	0		0.0	metadata_limited
saliva	monocyte	10	199	1	1	1	1	0	10	0	0		0.0	metadata_limited
axilla	T cell	9	13792	3	2	2	2	0	9	0	0		0.0	not_recommended
axilla	macrophage	9	11594	3	2	2	2	0	9	0	0		0.0	not_recommended
axilla	fibroblast	9	10645	3	2	2	2	0	9	0	0		0.0	not_recommended
respiratory system	endothelial cell	9	2580	3	3	4	1	0	7	2	0	9.0	1.0	not_recommended
skeletal system	monocyte	9	673	3	3	3	3	3	4	2	0	2.0	0.2222222222222222	not_recommended
pleural fluid	T cell	9	14771	2	2	2	4	7	2	0	0		0.0	not_recommended
bladder organ	fibroblast	9	13846	2	2	3	1	0	9	0	0	9.0	1.0	not_recommended
bladder organ	monocyte	9	9392	2	2	3	1	0	9	0	0	9.0	1.0	not_recommended
bladder organ	macrophage	9	3317	2	2	3	1	0	9	0	0	9.0	1.0	not_recommended
bladder organ	T cell	9	875	2	2	3	1	0	9	0	0	9.0	1.0	not_recommended
uterus	macrophage	8	3268	3	3	3	1	0	8	0	0	8.0	1.0	not_recommended
intestine	macrophage	8	358	2	2	3	2	0	1	7	0	8.0	1.0	not_recommended
stomach	T cell	8	294	2	2	3	1	0	6	2	0	8.0	1.0	not_recommended
cortex	macrophage	8	484	1	1	2	1	3	0	5	0	8.0	1.0	not_recommended
immune system	T cell	7	267	1	1	2	1	0	7	0	0	7.0	1.0	not_recommended
immune system	macrophage	7	149	1	1	2	1	0	7	0	0	7.0	1.0	not_recommended
forelimb	macrophage	7	135	1	1	2	1	0	0	7	0	7.0	1.0	not_recommended
bladder organ	endothelial cell	6	903	2	2	3	1	0	6	0	0	6.0	1.0	not_recommended
omentum	macrophage	6	758	2	2	2	1	0	3	3	0	6.0	1.0	not_recommended
pancreas	fibroblast	6	239	2	2	2	1	0	3	3	0	6.0	1.0	not_recommended
adrenal gland	monocyte	6	563	1	1	1	1	0	2	4	0	6.0	1.0	not_recommended
