cell_type	donor_n	cell_n	tissue_n	dataset_n	collection_n	assay_n	disease_n	young_or_adult_donor_n	old_or_elderly_donor_n	annotated_other_donor_n	unknown_donor_n	disease_free_donor_n	disease_free_donor_fraction	feasibility_status	disease_free_ci_low	disease_free_ci_high
T cell	3791	1267019	56	119	93	19	147	326	2841	655	0	2078	0.5481403323661304	eligible_stratum	0.5322569305653037	0.5639262671734374
endothelial cell	3877	834933	52	234	109	21	169	139	2854	903	0	1577	0.406757802424555	pilot_candidate	0.3913945391045184	0.42230566448018847
fibroblast	2214	2663513	61	212	93	16	71	273	1103	854	0	1298	0.5862691960252936	eligible_stratum	0.5656218451422915	0.6066176872030301
macrophage	2984	1736309	66	125	103	20	81	336	1594	1101	0	1504	0.5040214477211796	eligible_stratum	0.48608821862904855	0.5219443357071653
monocyte	2254	647875	56	80	70	16	49	156	1346	768	0	995	0.4414374445430346	pilot_candidate	0.42105449111559634	0.46201968025231543
